Product Name,Price_Raw,Supplier,Location,Category
SS 304 Ball Valve,₹ 1,250 / Piece,Apex Fluid Controls,Mumbai,Industrial Valves
Cast Iron Gate Valve,₹ 4,500 / Unit,Global Valves & Fittings,Ahmedabad,Industrial Valves
High Pressure Butterfly Valve,Ask for Price,TechFlow Industries,Pune,Industrial Valves
Brass Non Return Valve,₹ 450 / Piece,Standard Brass Works,Jamnagar,Industrial Valves
Industrial Safety Valve,₹ 2,800 / Piece,SafeCheck Systems,Chennai,Industrial Valves
Solenoid Valve 24V,₹ 1,800 / Piece,ElectroPneumatics Pvt Ltd,Bangalore,Industrial Valves
Forged Steel Globe Valve,Ask for Price,Heavy Metal Forging,Mumbai,Industrial Valves
SS 316 Needle Valve,₹ 850 / Piece,Precision Flow Tech,Ahmedabad,Industrial Valves
Pneumatic Control Valve,₹ 15,000 / Unit,AutoFlow Solutions,New Delhi,Industrial Valves
Hydraulic Ball Valve,₹ 3,200 / Piece,HydroPower Systems,Faridabad,Industrial Valves
PP Ball Valve,₹ 150 / Piece,Plastic Polymers Ltd,Vadodara,Industrial Valves
Knife Gate Valve,₹ 6,500 / Piece,Industrial Needs Corp,Kolkata,Industrial Valves
Wafer Type Check Valve,₹ 1,100 / Piece,FlowMaster Valves,Mumbai,Industrial Valves
Diaphragm Valve,Ask for Price,Pharma Process Eqpt,Hyderabad,Industrial Valves
Bronze Globe Valve,₹ 2,100 / Piece,Marine Suppliers,Chennai,Industrial Valves
UPVC Butterfly Valve,₹ 950 / Piece,WaterWorks India,Surat,Industrial Valves
Steam Trap Valve,₹ 4,200 / Unit,Boiler Components Co.,Ludhiana,Industrial Valves
Y Strainer Valve,₹ 1,300 / Piece,FilterTech Systems,Mumbai,Industrial Valves
3 Piece Ball Valve,₹ 1,600 / Piece,Apex Fluid Controls,Mumbai,Industrial Valves
Motorized Ball Valve,₹ 8,500 / Piece,Smart Automation,Pune,Industrial Valves
Cryogenic Globe Valve,Ask for Price,Gas Plants India,Vadodara,Industrial Valves
Flush Bottom Valve,₹ 12,000 / Piece,Reactor Spares Ltd,Hyderabad,Industrial Valves
SS Sanitary Valve,₹ 3,500 / Piece,Hygienic Flow,Mumbai,Industrial Valves
Pressure Reducing Valve,₹ 5,600 / Unit,Control Dynamics,Bangalore,Industrial Valves
Dual Plate Check Valve,₹ 2,400 / Piece,Global Valves & Fittings,Ahmedabad,Industrial Valves
Plug Valve,Ask for Price,PetroLine Valves,Mumbai,Industrial Valves
Air Release Valve,₹ 800 / Piece,Irrigation Systems,Nashik,Industrial Valves
Foot Valve,₹ 350 / Piece,AgriPumps Ltd,Rajkot,Industrial Valves
Pinch Valve,₹ 7,200 / Piece,Slurry Flow Solns,Kolkata,Industrial Valves
Lined Butterfly Valve,₹ 5,800 / Piece,Corrosion Resistant Vals,Chennai,Industrial Valves
Angle Seat Valve,₹ 3,100 / Piece,Pneumatic Hub,Coimbatore,Industrial Valves
Pilot Operated Valve,Ask for Price,Advantage Systems,Delhi,Industrial Valves
Cast Steel Gate Valve,₹ 9,000 / Unit,Heavy Industrial Supply,Jamshedpur,Industrial Valves
Trunnion Mounted Ball Valve,Ask for Price,Oil & Gas Equipments,Mumbai,Industrial Valves
PVC Compact Ball Valve,₹ 80 / Piece,Plastic Polymers Ltd,Vadodara,Industrial Valves
Float Valve,₹ 650 / Piece,Tank Accessories,Pune,Industrial Valves
Needle Valve 1/4 Inch,₹ 450 / Piece,Precision Flow Tech,Ahmedabad,Industrial Valves
Fire Safe Ball Valve,₹ 2,900 / Piece,Safety First Valves,Mumbai,Industrial Valves
Manifold Valve,₹ 3,800 / Piece,InstruEquip,Pune,Industrial Valves
Double Block and Bleed Valve,Ask for Price,PetroLine Valves,Mumbai,Industrial Valves
Resilient Seated Gate Valve,₹ 5,200 / Piece,WaterInfra Ltd,Bangalore,Industrial Valves
Forged Brass Ball Valve,₹ 550 / Piece,Standard Brass Works,Jamnagar,Industrial Valves
Steam Reducing Valve,₹ 18,000 / Unit,Thermal Systems,Faridabad,Industrial Valves
Zero Leakage Check Valve,₹ 1,900 / Piece,FlowMaster Valves,Mumbai,Industrial Valves
High Temp Butterfly Valve,₹ 11,500 / Piece,TechFlow Industries,Pune,Industrial Valves
Sampling Valve,₹ 4,800 / Piece,Pharma Process Eqpt,Hyderabad,Industrial Valves
Actuated Butterfly Valve,₹ 14,200 / Piece,Smart Automation,Pune,Industrial Valves
Jacketed Ball Valve,₹ 7,800 / Piece,Chemical Valves Co,Ankleshwar,Industrial Valves
Sight Glass Valve,₹ 2,300 / Piece,Industrial Needs Corp,Kolkata,Industrial Valves
CPVC Ball Valve,₹ 220 / Piece,PlastFlow,Delhi,Industrial Valves
